Mejor fitness encontrado: 91632.0, con fenotipo: DRL
Mejor fitness encontrado: 95471.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91729.0, con fenotipo: DRL
Mejor fitness encontrado: 91542.0, con fenotipo: RLLRDLDRURDDULLRRRDDDDR
Mejor fitness encontrado: 91820.0, con fenotipo: LRD
Mejor fitness encontrado: 91613.0, con fenotipo: LRD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91498.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 95667.0, con fenotipo: LRD
Mejor fitness encontrado: 91423.0, con fenotipo: DRL
Mejor fitness encontrado: 91465.0, con fenotipo: DRL
Mejor fitness encontrado: 99443.0, con fenotipo: LRD
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: LRD
Mejor fitness encontrado: 91399.0, con fenotipo: DRL
Mejor fitness encontrado: 91502.0, con fenotipo: DRD
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 95459.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91408.0, con fenotipo: DRL
Mejor fitness encontrado: 95459.0, con fenotipo: DRL
Mejor fitness encontrado: 91633.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: LRD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91465.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91414.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 99510.0, con fenotipo: LRL
Mejor fitness encontrado: 91799.0, con fenotipo: RLD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91597.0, con fenotipo: DRL
Mejor fitness encontrado: 91423.0, con fenotipo: DRL
Mejor fitness encontrado: 95477.0, con fenotipo: DRL
Mejor fitness encontrado: 91657.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 95657.0, con fenotipo: DRL
Mejor fitness encontrado: 91786.0, con fenotipo: DRL
Mejor fitness encontrado: 95552.0, con fenotipo: RDRDLRDLUDDDLDUDUDR
Mejor fitness encontrado: 99584.0, con fenotipo: URL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 95432.0, con fenotipo: DRL
Mejor fitness encontrado: 91594.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
